lat,lon,mean_annual_rf,std_annual,cv,dry_days,heavy_days,elevation,soil_clay,soil_soc,slope,water_occurrence,water_norm,cv_norm,dry_norm,heavy_norm,slope_norm,soc_norm,clay_norm,rainfall_score,soil_score,terrain_score,permeability,permeability_norm,vegetation_proxy,scri,scri_class
8.25,77.0,1368.7098,409.68338,0.29932085,253.05128205128204,0.4871794871794871,0.0,0,167.0,127.1999969482422,100.0,1.0,0.028437318616571807,0.45531860878395536,0.017319963536918868,0.06087872254878431,0.1356620633631194,0.0,0.8468335008571091,0.48139723801787165,0.9391212774512157,0.6542648253452478,0.7878910579728057,0.39496344435418357,75.65360175668732,Excellent
8.25,77.25,1163.1,317.94876,0.27336323,265.87179487179486,0.4871794871794871,80.0,346,167.0,120.1999969482422,0.0,0.0,0.024137394894207288,0.5187864940340188,0.017319963536918868,0.05752847830298538,0.1356620633631194,0.6540642722117203,0.8295131047710358,0.21977152913318354,0.9424715216970146,0.26182626201821557,0.28654507502859294,0.09496344435418357,44.51814159636552,Moderate
8.25,77.5,749.88873,343.41086,0.45794907,313.0769230769231,0.282051282051282,71.0,346,167.0,134.0,12.0,0.12,0.05471435195839809,0.7524752475247525,0.010027347310847765,0.06413324699100814,0.1356620633631194,0.6540642722117203,0.7493634807659607,0.21977152913318354,0.9358667530089919,0.26182626201821557,0.28654507502859294,0.13096344435418356,44.575329465918294,Moderate
8.25,77.75,758.4992,328.97153,0.43371373,294.1025641025641,0.2564102564102564,24.0,330,167.0,75.0,0.0,0.0,0.05069972683538722,0.6585427773546584,0.009115770282588878,0.03589547406213142,0.1356620633631194,0.6238185255198488,0.7794225449746709,0.2318698278099321,0.9641045259378686,0.2799737100333385,0.30972870429768956,0.09496344435418357,44.18009307764062,Moderate
8.5,76.75,1833.1769,363.57733,0.19833183,233.2051282051282,0.8205128205128205,0.0,0,167.0,28.399999618530273,100.0,1.0,0.011708316389235692,0.357070322416857,0.02917046490428441,0.013592419328953276,0.1356620633631194,0.0,0.8794444372479633,0.48139723801787165,0.9864075806710467,0.6542648253452478,0.7878910579728057,0.39496344435418357,77.17816971475614,Excellent
8.5,77.0,1656.483,407.7652,0.24616322,227.33333333333337,0.358974358974359,25.0,342,167.0,102.5999984741211,0.0,0.0,0.019631667163870225,0.32800203097232816,0.01276207839562443,0.04910500778670049,0.1356620633631194,0.6465028355387524,0.8899181003240662,0.22279610380237067,0.9508949922132995,0.2663631240219963,0.2923409823458671,0.09496344435418357,46.302048646078404,Moderate
8.5,77.25,1534.6888,318.9736,0.20784253,221.94871794871796,0.3333333333333333,531.0,337,167.0,86.39999389648438,0.0,0.0,0.013283779954319553,0.30134551916730135,0.011850501367365542,0.041351583198394236,0.1356620633631194,0.6370510396975425,0.9007276818578721,0.22657682213885463,0.9586484168016057,0.27203420152672225,0.29958586649245983,0.09496344435418357,46.87287718217672,Moderate
8.5,77.5,815.67255,396.00958,0.4855007,304.84615384615387,0.4871794871794871,319.0,304,167.0,109.39999389648438,0.0,0.0,0.05927832613734092,0.7117288651942117,0.017319963536918868,0.05235952857744787,0.1356620633631194,0.5746691871455577,0.7575740209257245,0.2515295631596486,0.9476404714225521,0.3094633130579131,0.34740210185997134,0.09496344435418357,44.34521482911576,Moderate
8.5,77.75,775.97687,340.28146,0.4385201,303.15384615384613,0.358974358974359,65.0,375,167.0,27.400001525878903,0.0,0.0,0.051495910167351444,0.7033511043412033,0.01276207839562443,0.013113813920993965,0.1356620633631194,0.7088846880907372,0.7645676811120111,0.19784336278157674,0.986886186079006,0.22893401249080542,0.24452474697835555,0.09496344435418357,42.49185772283407,Moderate
8.5,78.0,759.824,377.29977,0.4965621,308.56410256410254,0.5128205128205128,16.0,270,167.0,19.200000762939453,0.0,0.0,0.06111066578414069,0.7301345519167299,0.018231540565177756,0.009189241725053287,0.1356620633631194,0.5103969754253308,0.7510459059417715,0.2772384478477393,0.9908107582749467,0.34802664009004924,0.39666731405680156,0.09496344435418357,46.08272213401713,Moderate
8.75,76.5,1913.0118,436.02594,0.22792642,234.10256410256412,0.7948717948717948,0.0,0,167.0,23.600000381469727,99.0,0.99,0.01661071035272894,0.36151307438436153,0.028258887876025523,0.011295109354124509,0.1356620633631194,0.0,0.8764241271807923,0.48139723801787165,0.9887048906458755,0.6542648253452478,0.7878910579728057,0.39196344435418357,76.9571216126993,Excellent
8.75,76.75,1948.9087,647.83984,0.3324116,212.6153846153846,0.5384615384615384,35.0,295,167.0,5.0,0.0,0.0,0.033918857406177075,0.25514089870525525,0.019143117593436645,0.0023930316041420947,0.1356620633631194,0.55765595463138,0.9041472521479216,0.25833485616531965,0.9976069683958579,0.3196712525664198,0.3604428933238383,0.09496344435418357,49.09076079634171,Moderate
8.75,77.0,1547.9862,468.90192,0.30291092,228.53846153846155,0.2307692307692307,82.0,319,167.0,228.6000061035156,0.0,0.0,0.029032019793257074,0.33396801218583394,0.008204193254329988,0.1094094078625577,0.1356620633631194,0.6030245746691871,0.885735530450648,0.2401874081501968,0.8905905921374423,0.29245008054373545,0.3256674494201934,0.09496344435418357,46.1406414911765,Moderate
